timestamp,message
1650400281080,CmdExecution: Command execution was completed successfully
1650400281080,CmdExecution: Stderr: 
1650400281080,CmdExecution: ExitCode 0
1650400281080,ExecuteBash: Removing temporary directory: /tmp/AWSTOE2557801126
1650400281080,ExecuteBash: Successfully removed temporary directory: /tmp/AWSTOE2557801126
1650400281080,ExecuteBash: FINISHED EXECUTION
1650400281084,Step FileExtension
1650400281086,ExecuteBash: STARTED EXECUTION
1650400281086,ExecuteBash: Created temporary directory: /tmp/AWSTOE762391719
1650400281086,ExecuteBash: Created temporary script file at: /tmp/AWSTOE762391719/script-2024406199.sh
1650400281086,CmdExecution: Preparing object for command bash with arguments [/tmp/AWSTOE762391719/script-2024406199.sh]
1650400281086,CmdExecution: Starting execution of command with arguments [bash /tmp/AWSTOE762391719/script-2024406199.sh]
1650400281090,Stdout: deb
1650400281090,CmdExecution: Terminating read operation on STDOUT pipe - EOF
1650400281090,CmdExecution: Command execution has been completed
1650400281090,CmdExecution: Command execution was completed successfully
1650400281090,CmdExecution: Stderr: 
1650400281090,CmdExecution: ExitCode 0
1650400281090,ExecuteBash: Removing temporary directory: /tmp/AWSTOE762391719
1650400281090,ExecuteBash: Successfully removed temporary directory: /tmp/AWSTOE762391719
1650400281090,ExecuteBash: FINISHED EXECUTION
1650400281093,Step Source
1650400281095,ExecuteBash: STARTED EXECUTION
1650400281095,ExecuteBash: Created temporary directory: /tmp/AWSTOE901047878
1650400281095,ExecuteBash: Created temporary script file at: /tmp/AWSTOE901047878/script-3290073109.sh
1650400281095,CmdExecution: Preparing object for command bash with arguments [/tmp/AWSTOE901047878/script-3290073109.sh]
1650400281095,CmdExecution: Starting execution of command with arguments [bash /tmp/AWSTOE901047878/script-3290073109.sh]
1650400281100,Stdout: https://s3.us-east-2.amazonaws.com/amazoncloudwatch-agent-us-east-2/debian/amd64/latest/amazon-cloudwatch-agent.deb
1650400281100,CmdExecution: Terminating read operation on STDOUT pipe - EOF
1650400281100,CmdExecution: Command execution has been completed
1650400281100,CmdExecution: Command execution was completed successfully
1650400281100,CmdExecution: Stderr: 
1650400281100,CmdExecution: ExitCode 0
1650400281100,ExecuteBash: Removing temporary directory: /tmp/AWSTOE901047878
1650400281100,ExecuteBash: Successfully removed temporary directory: /tmp/AWSTOE901047878
1650400281100,ExecuteBash: FINISHED EXECUTION
1650400281105,Step Installer
1650400281106,ExecuteBash: STARTED EXECUTION
1650400281106,ExecuteBash: Created temporary directory: /tmp/AWSTOE3653803052
1650400281106,ExecuteBash: Created temporary script file at: /tmp/AWSTOE3653803052/script-2222918787.sh
1650400281106,CmdExecution: Preparing object for command bash with arguments [/tmp/AWSTOE3653803052/script-2222918787.sh]
1650400281106,CmdExecution: Starting execution of command with arguments [bash /tmp/AWSTOE3653803052/script-2222918787.sh]
1650400281107,Stdout: /tmp/amazon-cloudwatch-agent.deb
1650400281107,CmdExecution: Terminating read operation on STDOUT pipe - EOF
1650400281107,CmdExecution: Command execution has been completed
1650400281107,CmdExecution: Command execution was completed successfully
1650400281107,CmdExecution: Stderr: 
1650400281107,CmdExecution: ExitCode 0
1650400281107,ExecuteBash: Removing temporary directory: /tmp/AWSTOE3653803052
1650400281107,ExecuteBash: Successfully removed temporary directory: /tmp/AWSTOE3653803052
1650400281107,ExecuteBash: FINISHED EXECUTION
1650400281111,Step InstallationRequirements
1650400281112,ExecuteBash: STARTED EXECUTION
1650400281113,ExecuteBash: Created temporary directory: /tmp/AWSTOE1528712969
1650400281113,ExecuteBash: Created temporary script file at: /tmp/AWSTOE1528712969/script-1292511967.sh
1650400281113,CmdExecution: Preparing object for command bash with arguments [/tmp/AWSTOE1528712969/script-1292511967.sh]
1650400281113,CmdExecution: Starting execution of command with arguments [bash /tmp/AWSTOE1528712969/script-1292511967.sh]
1650400281115,CmdExecution: Terminating read operation on STDOUT pipe - EOF
1650400281115,CmdExecution: Command execution has been completed
1650400281115,CmdExecution: Command execution was completed successfully
1650400281115,CmdExecution: Stderr: 
1650400281115,CmdExecution: ExitCode 0
1650400281115,ExecuteBash: Removing temporary directory: /tmp/AWSTOE1528712969
1650400281115,ExecuteBash: Successfully removed temporary directory: /tmp/AWSTOE1528712969
1650400281115,ExecuteBash: FINISHED EXECUTION
1650400281119,Step Download
1650400281120,ExecuteBash: STARTED EXECUTION
1650400281120,ExecuteBash: Created temporary directory: /tmp/AWSTOE774682327
1650400281120,ExecuteBash: Created temporary script file at: /tmp/AWSTOE774682327/script-2272867899.sh
1650400281120,CmdExecution: Preparing object for command bash with arguments [/tmp/AWSTOE774682327/script-2272867899.sh]
