Year,Population
1960,133426.0
1961,140984.0
1962,148877.0
1963,157006.0
1964,165305.0
1965,173797.0
1966,182509.0
1967,191404.0
1968,213582.0
1969,253261.0
1970,298084.0
1971,344513.0
1972,392368.0
1973,441546.0
1974,491955.0
1975,543394.0
1976,614177.0
1977,706861.0
1978,805231.0
1979,908452.0
1980,1014048.0
1981,1100180.0
1982,1167856.0
1983,1237572.0
1984,1308331.0
1985,1379536.0
1986,1468697.0
1987,1575909.0
1988,1683681.0
1989,1791840.0
1990,1900151.0
1991,2008383.0
1992,2116231.0
1993,2223284.0
1994,2329024.0
1995,2433988.0
1996,2572735.0
1997,2746119.0
1998,2921130.0
1999,3097563.0
2000,3275333.0
2001,3454198.0
2002,3633655.0
2003,3813443.0
2004,3993339.0
2005,4280993.0
2006,4898954.0
2007,5872624.0
2008,6988685.0
2009,7992644.0
2010,8481771.0
2011,8575205.0
2012,8664969.0
2013,8751847.0
2014,8835951.0
2015,8916899.0
2016,8994263.0
2017,9068296.0
2018,9140169.0
2019,9211657.0
2020,9287289.0
2021,9365145.0
2022,9441129.0
